K00001	alcohol_dehydrogenase_[EC:1.1.1.1]
K07248	lactaldehyde_dehydrogenase_/_glycolaldehyde_dehydrogenase_[EC:1.2.1.22_1.2.1.21]
K07249	retinal_dehydrogenase_[EC:1.2.1.36]
K07250	4-aminobutyrate_aminotransferase_/_(S)-3-amino-2-methylpropionate_transaminase_[EC:2.6.1.19_2.6.1.22]
K07251	thiamine_kinase_[EC:2.7.1.89]
K07252	dolichyldiphosphatase_[EC:3.6.1.43]
K07253	phenylpyruvate_tautomerase_[EC:5.3.2.1]
K07254	tRNA_(cytidine56-2'-O)-methyltransferase_[EC:2.1.1.206]
K07255	taurine_dehydrogenase_small_subunit_[EC:1.4.2.-]
K07256	taurine_dehydrogenase_large_subunit_[EC:1.4.2.-]
K07257	spore_coat_polysaccharide_biosynthesis_protein_SpsF
K07258	D-alanyl-D-alanine_carboxypeptidase_(penicillin-binding_protein_5/6)_[EC:3.4.16.4]
K07259	D-alanyl-D-alanine_carboxypeptidase_/_D-alanyl-D-alanine-endopeptidase_(penicillin-binding_protein_4)_[EC:3.4.16.4_3.4.21.-]
K07260	D-alanyl-D-alanine_carboxypeptidase_[EC:3.4.16.4]
K07261	penicillin-insensitive_murein_endopeptidase_[EC:3.4.24.-]
K07262	D-alanyl-D-alanine_endopeptidase_(penicillin-binding_protein_7)_[EC:3.4.21.-]
K07263	zinc_protease_[EC:3.4.24.-]
K07264	4-amino-4-deoxy-L-arabinose_transferase_[EC:2.4.2.43]
K07265	capsular_polysaccharide_export_protein
K07266	capsular_polysaccharide_export_protein
K07267	porin
K07268	opacity_associated_protein
K07269	hypothetical_protein
K07270	glycosyl_transferase,_family_25
K07271	lipopolysaccharide_cholinephosphotransferase_[EC:2.7.8.-]
K07272	rhamnosyltransferase_[EC:2.4.1.-]
K07273	lysozyme
K07274	outer_membrane_protein
K07275	outer_membrane_protein
K07276	hypothetical_protein
K07277	outer_membrane_protein_insertion_porin_family
K07278	outer_membrane_protein
K07279	autotransporter_family_porin
K07280	hypothetical_protein
K07281	hypothetical_protein
K07282	poly-gamma-glutamate_synthesis_protein_(capsule_biosynthesis_protein)
K07283	putative_salt-induced_outer_membrane_protein
K07284	sortase_A_[EC:3.4.22.70]
K07285	outer_membrane_lipoprotein
K07286	uncharacterized_lipoprotein
K07287	outer_membrane_protein_assembly_factor_BamC
K07288	uncharacterized_membrane_protein
K07289	AsmA_protein
K07290	hypothetical_protein
K07291	hypothetical_protein
K07292	hepatocyte_nuclear_factor_4-alpha
K07293	tyrosine-protein_phosphatase_non-receptor_type_11_[EC:3.1.3.48]
K07294	peroxisome_proliferator-activated_receptor_alpha
K07295	nuclear_receptor_subfamily_2_group_A
K07296	adiponectin
K07297	adiponectin_receptor
K07298	serine/threonine-protein_kinase_11
K07299	MFS_transporter,_SP_family,_solute_carrier_family_2_(facilitated_glucose_transporter),_member_1
K07300	Ca2+:H+_antiporter
K07301	cation:H+_antiporter
K07302	isoquinoline_1-oxidoreductase,_alpha_subunit_[EC:1.3.99.16]
K07303	isoquinoline_1-oxidoreductase,_beta_subunit_[EC:1.3.99.16]
K07304	peptide-methionine_(S)-S-oxide_reductase_[EC:1.8.4.11]
K07305	peptide-methionine_(R)-S-oxide_reductase_[EC:1.8.4.12]
K07306	anaerobic_dimethyl_sulfoxide_reductase_subunit_A_[EC:1.8.5.3]
K07307	anaerobic_dimethyl_sulfoxide_reductase_subunit_B_(DMSO_reductase_iron-_sulfur_subunit)
K07308	anaerobic_dimethyl_sulfoxide_reductase_subunit_C_(DMSO_reductase_anchor_subunit)
K07309	Tat-targeted_selenate_reductase_subunit_YnfE_[EC:1.97.1.9]
K07310	Tat-targeted_selenate_reductase_subunit_YnfF_[EC:1.97.1.9]
K07311	Tat-targeted_selenate_reductase_subunit_YnfG
K07312	Tat-targeted_selenate_reductase_subunit_YnfH
K07313	serine/threonine_protein_phosphatase_1_[EC:3.1.3.16]
K07314	serine/threonine_protein_phosphatase_2_[EC:3.1.3.16]
K07315	sigma-B_regulation_protein_RsbU_(phosphoserine_phosphatase)
K07316	adenine-specific_DNA-methyltransferase_[EC:2.1.1.72]
K07317	adenine-specific_DNA-methyltransferase_[EC:2.1.1.72]
K07318	adenine-specific_DNA-methyltransferase_[EC:2.1.1.72]
K07319	putative_adenine-specific_DNA-methyltransferase_[EC:2.1.1.72]
K07320	putative_adenine-specific_DNA-methyltransferase_[EC:2.1.1.72]
K07321	CO_dehydrogenase_maturation_factor
K07322	regulator_of_cell_morphogenesis_and_NO_signaling
K07323	putative_toluene_tolerance_protein
K07324	archaeal_flagellin_FlaA
K07325	archaeal_flagellin_FlaB
K07326	hemolysin_activation/secretion_protein
K07327	archaeal_flagellar_protein_FlaD
K07328	archaeal_flagellar_protein_FlaE
K07329	archaeal_flagellar_protein_FlaF
K07330	archaeal_flagellar_protein_FlaG
K07331	archaeal_flagellar_protein_FlaH
K07332	archaeal_flagellar_protein_FlaI
K07333	archaeal_flagellar_protein_FlaJ
K07334	proteic_killer_suppression_protein
K07335	basic_membrane_protein_A_and_related_proteins
K07336	PKHD-type_hydroxylase_[EC:1.14.11.-]
K07337	hypothetical_protein
K07338	hypothetical_protein
K07339	hypothetical_protein
K07340	hypothetical_protein
K07341	death_on_curing_protein
K07342	protein_transport_protein_SEC61_subunit_gamma_and_related_proteins
K07343	DNA_transformation_protein_and_related_proteins
K07344	type_IV_secretion_system_protein_TrbL
K07345	major_type_1_subunit_fimbrin_(pilin)
K07346	fimbrial_chaperone_protein
K07347	outer_membrane_usher_protein
K07348	minor_fimbrial_subunit
K07349	minor_fimbrial_subunit
K07350	minor_fimbrial_subunit
K07351	fimbrial_protein
K07352	type_1_fimbrial_protein
K07353	fimbrial_chaperone_protein
K07354	outer_membrane_usher_protein
K07355	fimbrial-like_protein
K07356	fimbrial_protein
K07357	type_1_fimbriae_regulatory_protein_FimB
K07358	type_1_fimbriae_regulatory_protein_FimE
K07359	calcium/calmodulin-dependent_protein_kinase_kinase_[EC:2.7.11.17]
K07360	tyrosine-protein_kinase_ZAP-70_[EC:2.7.10.2]
K07361	lymphocyte_cytosolic_protein_2
K07362	linker_for_activation_of_T_cells
K07363	IL2-inducible_T-cell_kinase_[EC:2.7.10.2]
K07364	tyrosine-protein_kinase_Tec_[EC:2.7.10.2]
K07365	NCK_adaptor_protein
K07366	GRB2-related_adaptor_protein_2
K07367	caspase_recruitment_domain-containing_protein_11
K07368	B-cell_CLL/lymphoma_10
K07369	mucosa-associated_lymphoid_tissue_lymphoma_translocation_protein_1_[EC:3.4.22.-]
K07370	Bruton_agammaglobulinemia_tyrosine_kinase_[EC:2.7.10.2]
K07371	B-cell_linker_protein
K07372	gap_junction_protein,_alpha_1
K07373	gap_junction_delta-2_protein
K07374	tubulin_alpha
K07375	tubulin_beta
K07376	protein_kinase,_cGMP-dependent_[EC:2.7.11.12]
K07377	neurexin
K07378	neuroligin
K07379	contactin_associated_protein_1
K07380	contactin_associated_protein-like_2
K07381	cytochrome_P450,_family_71,_subfamily_D,_polypeptide_18_((S)-limonene_6-monooxygenase)_[EC:1.14.13.48]
K07382	(S)-limonene_7-monooxygenase_[EC:1.14.13.49]
K07384	pinene_synthase_[EC:4.2.3.119_4.2.3.120]
K07385	1,8-cineole_synthase_[EC:4.2.3.108]
K07386	putative_endopeptidase_[EC:3.4.24.-]
K07387	putative_metalloprotease_[EC:3.4.24.-]
K07388	hydrogenase_expression/formation_protein
K07389	cytolysin-activating_lysine-acyltransferase_[EC:2.3.1.-]
K07390	monothiol_glutaredoxin
K07391	magnesium_chelatase_family_protein
K07392	AAA_family_ATPase
K07393	putative_glutathione_S-transferase
K07394	SM-20-related_protein
K07395	putative_proteasome-type_protease
K07396	putative_protein-disulfide_isomerase
K07397	putative_redox_protein
K07398	conserved_protein_with_predicted_RNA_binding_PUA_domain
K07399	cytochrome_c_biogenesis_protein
K07400	Fe/S_biogenesis_protein_NfuA
K07401	selenoprotein_W-related_protein
K07402	xanthine_dehydrogenase_accessory_factor
K07403	membrane-bound_serine_protease_(ClpP_class)
K07404	6-phosphogluconolactonase_[EC:3.1.1.31]
K07405	alpha-amylase_[EC:3.2.1.1]
K07406	alpha-galactosidase_[EC:3.2.1.22]
K07407	alpha-galactosidase_[EC:3.2.1.22]
K07408	cytochrome_P450,_family_1,_subfamily_A,_polypeptide_1_[EC:1.14.14.1]
K07409	cytochrome_P450,_family_1,_subfamily_A,_polypeptide_2_[EC:1.14.14.1]
K07410	cytochrome_P450,_family_1,_subfamily_B,_polypeptide_1_[EC:1.14.14.1]
K07411	cytochrome_P450,_family_2,_subfamily_A_[EC:1.14.14.1]
K07412	cytochrome_P450,_family_2,_subfamily_B_[EC:1.14.14.1]
K07413	cytochrome_P450,_family_2,_subfamily_C_[EC:1.14.14.1]
K07414	cytochrome_P450,_family_2,_subfamily_D_[EC:1.14.14.1]
K07415	cytochrome_P450,_family_2,_subfamily_E,_polypeptide_1_[EC:1.14.13.-]
K07416	cytochrome_P450,_family_2,_subfamily_F_[EC:1.14.14.1]
K07417	cytochrome_P450,_family_2,_subfamily_G
K07418	cytochrome_P450,_family_2,_subfamily_J_[EC:1.14.14.1]
K07419	cytochrome_P450,_family_2,_subfamily_R,_polypeptide_1_(vitamin_D_25-hydroxylase)_[EC:1.14.13.159]
K07420	cytochrome_P450,_family_2,_subfamily_S_[EC:1.14.14.1]
K07421	cytochrome_P450,_family_2,_subfamily_T
K07422	cytochrome_P450,_family_2,_subfamily_U
K07423	cytochrome_P450,_family_2,_subfamily_W
K07424	cytochrome_P450,_family_3,_subfamily_A_[EC:1.14.14.1]
K07425	cytochrome_P450,_family_4,_subfamily_A_(alkane_1-monooxygenase)_[EC:1.14.15.3]
K07426	cytochrome_P450,_family_4,_subfamily_B_[EC:1.14.14.1]
K07427	cytochrome_P450,_family_4,_subfamily_V
K07428	cytochrome_P450,_family_4,_subfamily_X_[EC:1.14.14.1]
K07429	cytochrome_P450,_family_4,_subfamily_Z_[EC:1.14.14.1]
K07430	cytochrome_P450,_family_7,_subfamily_B_(oxysterol_7-alpha-hydroxylase)_[EC:1.14.13.100]
K07431	cytochrome_P450,_family_8,_subfamily_B_(sterol_12-alpha-hydroxylase)_[EC:1.14.13.95]
K07432	beta-1,4-N-acetylglucosaminyltransferase_[EC:2.4.1.141]
K07433	cytochrome_P450,_family_11,_subfamily_B2_(steroid_11beta-monooxygenase_/_corticosterone_18-monooxygenase)_[EC:1.14.15.4_1.14.15.5]
K07434	cytochrome_P450,_family_19,_subfamily_A_[EC:1.14.14.1]
K07435	cytochrome_P450,_family_20,_subfamily_A
K07436	cytochrome_P450,_family_24,_subfamily_A,_polypeptide_1_(vitamin_D3_24-hydroxylase)_[EC:1.14.13.126]
K07437	cytochrome_P450,_family_26,_subfamily_A
K07438	cytochrome_P450,_family_27,_subfamily_B_(25-hydroxyvitamin_D3_1alpha-hydroxylase)_[EC:1.14.13.13]
K07439	cytochrome_P450,_family_39,_subfamily_A_(24-hydroxycholesterol_7alpha-hydroxylase)_[EC:1.14.13.99]
K07440	cytochrome_P450,_family_46,_subfamily_A_(cholesterol_24(S)-hydroxylase)_[EC:1.14.13.98]
K07441	beta-1,4-N-acetylglucosaminyltransferase_[EC:2.4.1.141]
K07442	tRNA_(adenine57-N1/adenine58-N1)-methyltransferase_[EC:2.1.1.219_2.1.1.220]
K07443	methylated-DNA-protein-cysteine_methyltransferase_related_protein
K07444	putative_N6-adenine-specific_DNA_methylase_[EC:2.1.1.-]
K07445	putative_DNA_methylase
K07446	tRNA_(guanine10-N2)-dimethyltransferase_[EC:2.1.1.213]
K07447	putative_holliday_junction_resolvase_[EC:3.1.-.-]
K07448	restriction_system_protein
K07449	similar_to_archaeal_holliday_junction_resolvase_and_Mrr_protein
K07450	putative_resolvase
K07451	5-methylcytosine-specific_restriction_enzyme_A_[EC:3.1.21.-]
K07452	5-methylcytosine-specific_restriction_enzyme_B_[EC:3.1.21.-]
K07453	putative_restriction_endonuclease
K07454	putative_restriction_endonuclease
K07455	recombination_protein_RecT
K07456	DNA_mismatch_repair_protein_MutS2
K07457	endonuclease_III_related_protein
K07458	DNA_mismatch_endonuclease,_patch_repair_protein_[EC:3.1.-.-]
K07459	putative_ATP-dependent_endonuclease_of_the_OLD_family
K07460	putative_endonuclease
K07461	putative_endonuclease
K07462	single-stranded-DNA-specific_exonuclease_[EC:3.1.-.-]
K07463	archaea-specific_RecJ-like_exonuclease
K07464	putative_RecB_family_exonuclease
K07465	putative_RecB_family_exonuclease
K07466	replication_factor_A1
K07467	phage_replication_initiation_protein
K07468	putative_ATP-dependent_DNA_ligase_[EC:6.5.1.1]
K07469	aldehyde_dehydrogenase_(FAD-independent)_[EC:1.2.99.7]
K07470	DNA_gyrase_inhibitor
K07471	probable_transcriptional_regulator
K07472	TBP-interacting_protein
K07473	DNA-damage-inducible_protein_J
K07474	phage_terminase_small_subunit
K07475	putative_phosphohydrolase
K07476	toprim_domain_protein
K07477	translin
K07478	putative_ATPase
K07479	putative_DNA_topoisomerase
K07480	insertion_element_IS1_protein_InsB
K07481	transposase,_IS5_family
K07482	transposase,_IS30_family
K07483	transposase
K07484	transposase
K07485	transposase
K07486	transposase
K07487	transposase
K07488	transposase
K07489	transposase
K07490	ferrous_iron_transport_protein_C
K07491	putative_transposase
K07492	putative_transposase
K07493	putative_transposase
K07494	putative_transposase
K07495	putative_transposase
K07496	putative_transposase
K07497	putative_transposase
K07498	putative_transposase
K07499	putative_transposase
K07500	hypothetical_protein
K07501	hypothetical_protein
K07502	hypothetical_protein
K07503	hypothetical_protein
K07504	hypothetical_protein
K07505	hypothetical_protein
K07506	AraC_family_transcriptional_regulator
K07507	putative_Mg2+_transporter-C_(MgtC)_family_protein
K07508	acetyl-CoA_acyltransferase_2_[EC:2.3.1.16]
K07509	acetyl-CoA_acyltransferase_[EC:2.3.1.16]
K07511	enoyl-CoA_hydratase_[EC:4.2.1.17]
K07512	mitochondrial_trans-2-enoyl-CoA_reductase_[EC:1.3.1.38]
K07513	acetyl-CoA_acyltransferase_1_[EC:2.3.1.16]
K07514	enoyl-CoA_hydratase_/_3-hydroxyacyl-CoA_dehydrogenase_/_3,2-trans-enoyl-CoA_isomerase_[EC:4.2.1.17_1.1.1.35_5.3.3.8]
K07515	enoyl-CoA_hydratase_/_long-chain_3-hydroxyacyl-CoA_dehydrogenase_[EC:4.2.1.17_1.1.1.211]
K07516	3-hydroxyacyl-CoA_dehydrogenase_[EC:1.1.1.35]
K07518	hydroxybutyrate-dimer_hydrolase_[EC:3.1.1.22]
K07519	phthalate_4,5-dioxygenase_[EC:1.14.12.7]
K07520	actin-binding_LIM_protein
K07521	netrin_receptor_unc-5
K07522	netrin-G1
K07523	netrin-G1_ligand
K07524	regulator_of_G-protein_signalling_3
K07525	neuronal_guanine_nucleotide_exchange_factor
K07526	SLIT-ROBO_Rho_GTPase_activating_protein
K07527	tyrosine-protein_kinase_Fes/Fps_[EC:2.7.10.2]
K07528	dihydropyrimidinase-like_2
K07529	dihydropyrimidinase-like_5
K07530	Ras_homolog_gene_family,_member_D
K07531	Rho_family_GTPase_1
K07532	Rho_guanine_nucleotide_exchange_factor_12
K07533	foldase_protein_PrsA_[EC:5.2.1.8]
K07534	cyclohex-1-ene-1-carboxyl-CoA_hydratase_[EC:4.2.1.-]
K07535	2-hydroxycyclohexanecarboxyl-CoA_dehydrogenase_[EC:1.1.1.-]
K07536	2-ketocyclohexanecarboxyl-CoA_hydrolase_[EC:3.1.2.-]
K07537	cyclohexa-1,5-dienecarbonyl-CoA_hydratase_[EC:4.2.1.100]
K07538	6-hydroxycyclohex-1-ene-1-carboxyl-CoA_dehydrogenase_[EC:1.1.1.-]
K07539	6-oxo-cyclohex-1-ene-carbonyl-CoA_hydrolase_[EC:3.7.1.-]
K07540	benzylsuccinate_synthase_[EC:4.1.99.11]
K07541	phosphatidylinositol_glycan,_class_X
K07542	phosphatidylinositol_glycan,_class_V_[EC:2.4.1.-]
K07543	benzylsuccinate_CoA-transferase_BbsE_subunit_[EC:2.8.3.15]
K07544	benzylsuccinate_CoA-transferase_BbsF_subunit_[EC:2.8.3.15]
K07545	(R)-benzylsuccinyl-CoA_dehydrogenase_[EC:1.3.8.3]
K07546	E-phenylitaconyl-CoA_hydratase_[EC:4.2.1.-]
K07547	2-[hydroxy(phenyl)methyl]-succinyl-CoA_dehydrogenase_BbsC_subunit_[EC:1.1.1.35]
K07548	2-[hydroxy(phenyl)methyl]-succinyl-CoA_dehydrogenase_BbsD_subunit_[EC:1.1.1.35]
K07549	benzoylsuccinyl-CoA_thiolase_BbsA_subunit_[EC:2.3.1.-]
K07550	benzoylsuccinyl-CoA_thiolase_BbsB_subunit_[EC:2.3.1.-]
K07552	MFS_transporter,_DHA1_family,_bicyclomycin/chloramphenicol_resistance_protein
K07553	beta-1,4-galactosyltransferase_6_[EC:2.4.1.274]
K07554	ATP_synthase,_H+_transporting,_mitochondrial_F0_complex,_subunit_s
K07555	ATP_synthase_mitochondrial_F1_complex_assembly_factor_1
K07556	ATP_synthase_mitochondrial_F1_complex_assembly_factor_2
K07557	archaeosine_synthase_[EC:2.6.1.97]
K07558	tRNA_nucleotidyltransferase_(CCA-adding_enzyme)_[EC:2.7.7.72]
K07559	putative_RNA_2'-phosphotransferase_[EC:2.7.1.-]
K07560	D-tyrosyl-tRNA(Tyr)_deacylase_[EC:3.1.-.-]
K07561	diphthamide_synthase_subunit_DPH2
K07562	nonsense-mediated_mRNA_decay_protein_3
K07565	60S_ribosome_subunit_biogenesis_protein_NIP7
K07566	tRNA_threonylcarbamoyladenosine_biosynthesis_protein
K07567	TdcF_protein
K07568	S-adenosylmethionine:tRNA_ribosyltransferase-isomerase_[EC:2.4.99.17]
K07569	RNA-binding_protein
K07570	general_stress_protein_13
K07571	S1_RNA_binding_domain_protein
K07572	putative_nucleotide_binding_protein
K07573	exosome_complex_component_CSL4
K07574	RNA-binding_protein
K07575	PUA_domain_protein
K07576	metallo-beta-lactamase_family_protein
K07577	putative_mRNA_3-end_processing_factor
K07578	homologs_of_the_eukaryotic_argonaute_protein
K07579	putative_methylase
K07580	hypothetical_protein
K07581	hypothetical_protein
K07583	tRNA_pseudouridine_synthase_10_[EC:5.4.99.-]
K07584	hypothetical_protein
K07585	hypothetical_protein
K07586	hypothetical_protein
K07587	O-phosphoseryl-tRNA_synthetase_[EC:6.1.1.27]
K07588	LAO/AO_transport_system_kinase_[EC:2.7.-.-]
K07589	D-erythro-7,8-dihydroneopterin_triphosphate_epimerase_[EC:5.-.-.-]
K07590	large_subunit_ribosomal_protein_L7A
K07591	threonine_dehydratase_operon_activator_protein
K07592	LysR_family_transcriptional_regulator,_tdc_operon_transcriptional_activator
K07593	MFS_transporter,_SP_family,_solute_carrier_family_2_(facilitated_glucose_transporter),_member_2
K07594	insulin_promoter_factor_1
K07595	transcription_factor_MAFA
K07596	desmoglein_1
K07597	desmoglein_2
K07598	desmoglein_3
K07599	desmoglein_4
K07600	desmocollin_1
K07601	desmocollin_2
K07602	desmocollin_3
K07603	collagen,_type_XVII,_alpha
K07604	type_I_keratin,_acidic
K07605	type_II_keratin,_basic
K07606	vimentin
K07607	peripherin
K07608	internexin_neuronal_intermediate_filament_protein,_alpha
K07609	nestin
K07610	desmin
K07611	lamin_B
K07612	gap_junction_protein,_alpha_3
K07613	gap_junction_protein,_alpha_4
K07614	gap_junction_protein,_alpha_5
K07615	gap_junction_protein,_alpha_6
K07616	gap_junction_protein,_alpha_7
K07617	gap_junction_protein,_alpha_8
K07618	gap_junction_alpha-9_protein
K07619	gap_junction_protein,_alpha_12
K07620	gap_junction_protein,_beta_1
K07621	gap_junction_protein,_beta_2
K07622	gap_junction_protein,_beta_3
K07623	gap_junction_protein,_beta_4
K07624	gap_junction_protein,_beta_5
K07625	gap_junction_protein,_beta_6
K07626	gap_junction_protein,_beta_7
K07627	gap_junction_protein,_chi_1
K07628	gap_junction_protein,_epsilon_1
K07630	Gap_junction_delta-4_protein
K07631	gap_junction_alpha-10_protein
K07632	galactoside_alpha-1,3-fucosyltransferase_4_[EC:2.4.1.-]
K07633	galactoside_alpha-1,3-fucosyltransferase_5_[EC:2.4.1.65]
K07634	galactoside_alpha-1,3-fucosyltransferase_6_[EC:2.4.1.65]
K07635	galactoside_alpha-1,3-fucosyltransferase_7_[EC:2.4.1.-]
K07636	two-component_system,_OmpR_family,_phosphate_regulon_sensor_histidine_kinase_PhoR_[EC:2.7.13.3]
K07637	two-component_system,_OmpR_family,_sensor_histidine_kinase_PhoQ_[EC:2.7.13.3]
K07638	two-component_system,_OmpR_family,_osmolarity_sensor_histidine_kinase_EnvZ_[EC:2.7.13.3]
K07639	two-component_system,_OmpR_family,_sensor_histidine_kinase_RstB_[EC:2.7.13.3]
K07640	two-component_system,_OmpR_family,_sensor_histidine_kinase_CpxA_[EC:2.7.13.3]
K07641	two-component_system,_OmpR_family,_sensor_histidine_kinase_CreC_[EC:2.7.13.3]
K07642	two-component_system,_OmpR_family,_sensor_histidine_kinase_BaeS_[EC:2.7.13.3]
K07643	two-component_system,_OmpR_family,_sensor_histidine_kinase_BasS_[EC:2.7.13.3]
K07644	two-component_system,_OmpR_family,_heavy_metal_sensor_histidine_kinase_CusS_[EC:2.7.13.3]
K07645	two-component_system,_OmpR_family,_sensor_histidine_kinase_QseC_[EC:2.7.13.3]
K07646	two-component_system,_OmpR_family,_sensor_histidine_kinase_KdpD_[EC:2.7.13.3]
K07647	two-component_system,_OmpR_family,_sensor_histidine_kinase_TorS_[EC:2.7.13.3]
K07648	two-component_system,_OmpR_family,_aerobic_respiration_control_sensor_histidine_kinase_ArcB_[EC:2.7.13.3]
K07649	two-component_system,_OmpR_family,_sensor_histidine_kinase_TctE_[EC:2.7.13.3]
K07650	two-component_system,_OmpR_family,_sensor_histidine_kinase_CssS_[EC:2.7.13.3]
K07651	two-component_system,_OmpR_family,_sensor_histidine_kinase_ResE_[EC:2.7.13.3]
K07652	two-component_system,_OmpR_family,_sensor_histidine_kinase_VicK_[EC:2.7.13.3]
K07653	two-component_system,_OmpR_family,_sensor_histidine_kinase_MprB_[EC:2.7.13.3]
K07654	two-component_system,_OmpR_family,_sensor_histidine_kinase_MtrB_[EC:2.7.13.3]
K07655	two-component_system,_OmpR_family,_sensor_histidine_kinase_PrrB_[EC:2.7.13.3]
K07656	two-component_system,_OmpR_family,_sensor_histidine_kinase_TrcS_[EC:2.7.13.3]
K07657	two-component_system,_OmpR_family,_phosphate_regulon_response_regulator_PhoB
K07658	two-component_system,_OmpR_family,_alkaline_phosphatase_synthesis_response_regulator_PhoP
K07659	two-component_system,_OmpR_family,_phosphate_regulon_response_regulator_OmpR
K07660	two-component_system,_OmpR_family,_response_regulator_PhoP
K07661	two-component_system,_OmpR_family,_response_regulator_RstA
K07662	two-component_system,_OmpR_family,_response_regulator_CpxR
K07663	two-component_system,_OmpR_family,_catabolic_regulation_response_regulator_CreB
K07664	two-component_system,_OmpR_family,_response_regulator_BaeR
K07665	two-component_system,_OmpR_family,_copper_resistance_phosphate_regulon_response_regulator_CusR
K07666	two-component_system,_OmpR_family,_response_regulator_QseB
K07667	two-component_system,_OmpR_family,_KDP_operon_response_regulator_KdpE
K07668	two-component_system,_OmpR_family,_response_regulator_VicR
K07669	two-component_system,_OmpR_family,_response_regulator_MprA
K07670	two-component_system,_OmpR_family,_response_regulator_MtrA
K07671	two-component_system,_OmpR_family,_response_regulator_PrrA
K07672	two-component_system,_OmpR_family,_response_regulator_TrcR
K07673	two-component_system,_NarL_family,_nitrate/nitrite_sensor_histidine_kinase_NarX_[EC:2.7.13.3]
K07674	two-component_system,_NarL_family,_nitrate/nitrite_sensor_histidine_kinase_NarQ_[EC:2.7.13.3]
K07675	two-component_system,_NarL_family,_sensor_histidine_kinase_UhpB_[EC:2.7.13.3]
K07676	two-component_system,_NarL_family,_sensor_histidine_kinase_RcsD_[EC:2.7.13.3]
K07677	two-component_system,_NarL_family,_capsular_synthesis_sensor_histidine_kinase_RcsC_[EC:2.7.13.3]
K07678	two-component_system,_NarL_family,_sensor_histidine_kinase_BarA_[EC:2.7.13.3]
K07679	two-component_system,_NarL_family,_sensor_histidine_kinase_EvgS_[EC:2.7.13.3]
K07680	two-component_system,_NarL_family,_sensor_histidine_kinase_ComP_[EC:2.7.13.3]
K07681	two-component_system,_NarL_family,_vancomycin_resistance_sensor_histidine_kinase_VraS_[EC:2.7.13.3]
K07682	two-component_system,_NarL_family,_sensor_histidine_kinase_DevS_[EC:2.7.13.3]
K07683	two-component_system,_NarL_family,_sensor_histidine_kinase_NreB_[EC:2.7.13.3]
K07684	two-component_system,_NarL_family,_nitrate/nitrite_response_regulator_NarL
K07685	two-component_system,_NarL_family,_nitrate/nitrite_response_regulator_NarP
K07686	two-component_system,_NarL_family,_uhpT_operon_response_regulator_UhpA
K07687	two-component_system,_NarL_family,_captular_synthesis_response_regulator_RcsB
K07688	two-component_system,_NarL_family,_response_regulator,_fimbrial_Z_protein,_FimZ
K07689	two-component_system,_NarL_family,_invasion_response_regulator_UvrY
K07690	two-component_system,_NarL_family,_response_regulator_EvgA
K07691	two-component_system,_NarL_family,_competent_response_regulator_ComA
K07692	two-component_system,_NarL_family,_response_regulator_DegU
K07693	two-component_system,_NarL_family,_response_regulator_DesR
K07694	two-component_system,_NarL_family,_vancomycin_resistance_associated_response_regulator_VraR
K07695	two-component_system,_NarL_family,_response_regulator_DevR
K07696	two-component_system,_NarL_family,_response_regulator_NreC
K07697	two-component_system,_sporulation_sensor_kinase_B_[EC:2.7.13.3]
K07698	two-component_system,_sporulation_sensor_kinase_C_[EC:2.7.13.3]
K07699	two-component_system,_response_regulator,_stage_0_sporulation_protein_A
K07700	two-component_system,_CitB_family,_cit_operon_sensor_histidine_kinase_CitA_[EC:2.7.13.3]
K07701	two-component_system,_CitB_family,_sensor_histidine_kinase_DcuS_[EC:2.7.13.3]
K07702	two-component_system,_CitB_family,_response_regulator_CitB
K07703	two-component_system,_CitB_family,_response_regulator_DcuR
K07704	two-component_system,_LytT_family,_sensor_histidine_kinase_LytS_[EC:2.7.13.3]
K07705	two-component_system,_LytT_family,_response_regulator_LytT
K07706	two-component_system,_AgrA_family,_sensor_histidine_kinase_AgrC_[EC:2.7.13.-]
K07707	two-component_system,_AgrA_family,_response_regulator_AgrA
K07708	two-component_system,_NtrC_family,_nitrogen_regulation_sensor_histidine_kinase_GlnL_[EC:2.7.13.3]
K07709	two-component_system,_NtrC_family,_sensor_histidine_kinase_HydH_[EC:2.7.13.3]
K07710	two-component_system,_NtrC_family,_sensor_histidine_kinase_AtoS_[EC:2.7.13.3]
K07711	two-component_system,_NtrC_family,_sensor_histidine_kinase_GlrK_[EC:2.7.13.3]
K07712	two-component_system,_NtrC_family,_nitrogen_regulation_response_regulator_GlnG
K07713	two-component_system,_NtrC_family,_response_regulator_HydG
K07714	two-component_system,_NtrC_family,_response_regulator_AtoC
K07715	two-component_system,_NtrC_family,_response_regulator_GlrR
K07716	two-component_system,_cell_cycle_sensor_histidine_kinase_PleC_[EC:2.7.13.3]
K07717	two-component_system,_sensor_histidine_kinase_YcbA_[EC:2.7.13.3]
K07718	two-component_system,_sensor_histidine_kinase_YesM_[EC:2.7.13.3]
K07719	two-component_system,_response_regulator_YcbB
K07720	two-component_system,_response_regulator_YesN
K07721	ArsR_family_transcriptional_regulator
K07722	CopG_family_transcriptional_regulator,_nickel-responsive_regulator
K07723	CopG_family_transcriptional_regulator
K07724	Ner_family_transcriptional_regulator
K07725	putative_transcriptional_regulator
K07726	putative_transcriptional_regulator
K07727	putative_transcriptional_regulator
K07728	putative_transcriptional_regulator
K07729	putative_transcriptional_regulator
K07730	putative_transcriptional_regulator
