KO	cefoperazone-pretreated	clindamycin-pretreated	streptomycin-pretreated	ex-germfree	gene_name	CD630_genes	pathways	enzymatic_reactions	chemical_formulas
K01011	9	9	10	0	thiosulfate/3-mercaptopyruvate_sulfurtransferase_[EC:2.8.1.1_2.8.1.2]	cdf:CD630_01210,cdf:CD630_15350	Cysteine_and_methionine_metabolism,Sulfur_metabolism,Metabolic_pathways,Microbial_metabolism_in_diverse_environments,Sulfur_relay_system	R01931,R03105	C00320=>C00094,C00320<=>C00094,C00094+C00957=>C00320+C00022,C00022<=>C00957
K01012	0	0	0	0	biotin_synthase_[EC:2.8.1.6]	cdf:CD630_02970	Biotin_metabolism,Metabolic_pathways	R01078	C01909=>C00120,C00120<=>C01909
K01034	0	12	2	0	acetate_CoA-transferase_alpha_subunit_[EC:2.8.3.8]	cdf:CD630_26770	Aminobenzoate_degradation,Propanoate_metabolism,Butanoate_metabolism,Metabolic_pathways,Microbial_metabolism_in_diverse_environments,Two-component_system	R01179,R01359,R07832	C00136<=>C00246,C00246<=>C00136,C00332<=>C00164,C16272=>C16273,C16272<=>C16273
K01035	0	13	2	0	acetate_CoA-transferase_beta_subunit_[EC:2.8.3.8]	cdf:CD630_26780	Aminobenzoate_degradation,Propanoate_metabolism,Butanoate_metabolism,Metabolic_pathways,Microbial_metabolism_in_diverse_environments,Two-component_system	R01179,R01359,R07832	C00136<=>C00246,C00246<=>C00136,C00332<=>C00164,C16272=>C16273,C16272<=>C16273
K01056	3	2	2	2	peptidyl-tRNA_hydrolase,_PTH1_family_[EC:3.1.1.29]	cdf:CD630_35020	NA	NA	NA
K01090	4	3	2	0	protein_phosphatase_[EC:3.1.3.16]	cdf:CD630_25790	NA	NA	NA
K01091	3	1	4	0	phosphoglycolate_phosphatase_[EC:3.1.3.18]	cdf:CD630_25730,cdf:CD630_36050	Glyoxylate_and_dicarboxylate_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R01334	C00988=>C00160,C00988<=>C00160
K01104	12	6	7	2	protein-tyrosine_phosphatase_[EC:3.1.3.48]	cdf:CD630_22720,cdf:CD630_34810	NA	NA	NA
K01118	0	4	4	0	FMN-dependent_NADH-azoreductase_[EC:1.7.-.-]	cdf:CD630_15430	NA	NA	NA
K01126	0	2	2	0	glycerophosphoryl_diester_phosphodiesterase_[EC:3.1.4.46]	cdf:CD630_14020,cdf:CD630_16660	Glycerophospholipid_metabolism	R01030,R01470	C00670=>C00093+C00114,C01233=>C00189+C00093
K01142	5	13	3	4	exodeoxyribonuclease_III_[EC:3.1.11.2]	cdf:CD630_13410	Base_excision_repair	NA	NA
K01151	6	2	2	3	deoxyribonuclease_IV_[EC:3.1.21.2]	cdf:CD630_05600	Base_excision_repair	NA	NA
K01159	2	1	1	0	crossover_junction_endodeoxyribonuclease_RuvC_[EC:3.1.22.4]	cdf:CD630_28070	Homologous_recombination	NA	NA
K01163	16	10	6	2	hypothetical_protein	cdf:CD630_24770	NA	NA	NA
K01179	2	1	1	0	endoglucanase_[EC:3.2.1.4]	cdf:CD630_25460	Starch_and_sucrose_metabolism,Metabolic_pathways	R02886	C00760=>C00185+C00760,C00760<=>C00185
K01193	0	0	0	0	beta-fructofuranosidase_[EC:3.2.1.26]	cdf:CD630_18050	Galactose_metabolism,Starch_and_sucrose_metabolism,Metabolic_pathways	R00802,R02410,R03635,R03921	C00089=>C02336+C00267,C00089<=>C00267+C02336,C00492=>C05402,C01613=>C05404,C16688<=>C02336+C00668
K01198	0	1	2	0	xylan_1,4-beta-xylosidase_[EC:3.2.1.37]	cdf:CD630_00330	Starch_and_sucrose_metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,Metabolic_pathways	R01433	C02352=>C00181,C02352<=>C00181
K01222	6	8	13	1	6-phospho-beta-glucosidase_[EC:3.2.1.86]	cdf:CD630_28820	Glycolysis_/_Gluconeogenesis	R05133	C06187=>C01172
K01223	15	55	22	2	6-phospho-beta-glucosidase_[EC:3.2.1.86]	cdf:CD630_03890,cdf:CD630_08180,cdf:CD630_30790,cdf:CD630_30950,cdf:CD630_30960,cdf:CD630_31150,cdf:CD630_31240,cdf:CD630_31300,cdf:CD630_31360	Glycolysis_/_Gluconeogenesis	R05134	C06188=>C01172
K01226	149	184	163	14	trehalose-6-phosphate_hydrolase_[EC:3.2.1.93]	cdf:CD630_30910	Starch_and_sucrose_metabolism	R00837	C00689<=>C00092,C00689=>C00092
K01232	3	2	4	0	maltose-6'-phosphate_glucosidase_[EC:3.2.1.122]	cdf:CD630_08640,cdf:CD630_13380	Starch_and_sucrose_metabolism	R00837,R00838	C00689<=>C00092,C00689=>C00092,C02995<=>C00092
K01243	13	13	3	1	S-adenosylhomocysteine/5'-methylthioadenosine_nucleosidase_[EC:3.2.2.9]	cdf:CD630_26110	Cysteine_and_methionine_metabolism,Metabolic_pathways,Biosynthesis_of_amino_acids	R00194,R01401	C00021=>C03539,C00021<=>C03539,C00170=>C03089,C03089<=>C00170
K01255	3	3	6	0	leucyl_aminopeptidase_[EC:3.4.11.1]	cdf:CD630_13000	Glutathione_metabolism,Metabolic_pathways	R00899,R04951	C01419=>C00097+C00037,C01419<=>C00097+C00037,C05729=>C00037+C05726
K01258	10	14	11	14	tripeptide_aminopeptidase_[EC:3.4.11.4]	cdf:CD630_10460	NA	NA	NA
K01259	13	10	30	59	proline_iminopeptidase_[EC:3.4.11.5]	cdf:CD630_30410	Arginine_and_proline_metabolism	R00135	C00012=>C00148
K01262	24	54	22	7	Xaa-Pro_aminopeptidase_[EC:3.4.11.9]	cdf:CD630_22610	NA	NA	NA
K01265	145	82	62	27	methionyl_aminopeptidase_[EC:3.4.11.18]	cdf:CD630_00920,cdf:CD630_15960	NA	NA	NA
K01269	4	6	9	1	aminopeptidase_[EC:3.4.11.-]	cdf:CD630_35950	NA	NA	NA
K01270	69	86	101	6	dipeptidase_D_[EC:3.4.13.-]	cdf:CD630_07080	Glutathione_metabolism,Metabolic_pathways	R00899,R04951	C01419=>C00097+C00037,C01419<=>C00097+C00037,C05729=>C00037+C05726
K01271	111	97	94	12	Xaa-Pro_dipeptidase_[EC:3.4.13.9]	cdf:CD630_23470,cdf:CD630_24850,cdf:CD630_26130	NA	NA	NA
K01273	9	5	3	4	membrane_dipeptidase_[EC:3.4.13.19]	cdf:CD630_35700	NA	NA	NA
K01295	1	4	7	0	glutamate_carboxypeptidase_[EC:3.4.17.11]	cdf:CD630_28220	NA	NA	NA
K01297	1	3	1	0	muramoyltetrapeptide_carboxypeptidase_[EC:3.4.17.13]	cdf:CD630_13990	NA	NA	NA
K01304	1	3	3	0	pyroglutamyl-peptidase_[EC:3.4.19.3]	cdf:CD630_16760	NA	NA	NA
K01358	52	46	54	60	ATP-dependent_Clp_protease,_protease_subunit_[EC:3.4.21.92]	cdf:CD630_33050,cdf:CD630_33510	Cell_cycle_-_Caulobacter	NA	NA
K01409	9	12	17	2	O-sialoglycoprotein_endopeptidase_[EC:3.4.24.57]	cdf:CD630_01520,cdf:CD630_12020	NA	NA	NA
K01420	2	7	12	0	CRP/FNR_family_transcriptional_regulator,_anaerobic_regulatory_protein	cdf:CD630_06290	NA	NA	NA
K01425	7	8	10	0	glutaminase_[EC:3.5.1.2]	cdf:CD630_05580	Alanine,_aspartate_and_glutamate_metabolism,Arginine_and_proline_metabolism,D-Glutamine_and_D-glutamate_metabolism,Metabolic_pathways,Glutamatergic_synapse,GABAergic_synapse,Proximal_tubule_bicarbonate_reclamation,MicroRNAs_in_cancer	R00256,R01579	C00064<=>C00025+C00014,C00064<=>C00014,C00064=>C00014,C00064=>C00025,C00014<=>C00064,C00025<=>C00064,C00819=>C00217,C00217<=>C00819
K01438	0	1	4	0	acetylornithine_deacetylase_[EC:3.5.1.16]	cdf:CD630_03030	Arginine_and_proline_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,2-Oxocarboxylic_acid_metabolism,Biosynthesis_of_amino_acids	R00669,R09107	C00437=>C00077,C00437<=>C00077,C15532=>C00327
K01443	7	6	7	0	N-acetylglucosamine-6-phosphate_deacetylase_[EC:3.5.1.25]	cdf:CD630_34530	Amino_sugar_and_nucleotide_sugar_metabolism,Biosynthesis_of_secondary_metabolites	R02059	C00357=>C00352,C00352<=>C00357
K01444	21	14	26	3	N4-(beta-N-acetylglucosaminyl)-L-asparaginase_[EC:3.5.1.26]	cdf:CD630_01390	Other_glycan_degradation,Lysosome	NA	NA
K01448	35	57	44	7	N-acetylmuramoyl-L-alanine_amidase_[EC:3.5.1.28]	cdf:CD630_01060,cdf:CD630_07840,cdf:CD630_18980,cdf:CD630_27610,cdf:CD630_27840	NA	NA	NA
K01449	0	8	8	1	N-acetylmuramoyl-L-alanine_amidase_[EC:3.5.1.28]	cdf:CD630_35630	NA	NA	NA
K01462	7	6	6	10	peptide_deformylase_[EC:3.5.1.88]	cdf:CD630_17560,cdf:CD630_25850	NA	NA	NA
K01463	8	2	1	30	dihydropyrimidinase_[EC:3.5.2.2]	cdf:CD630_30990	NA	NA	NA
K01465	11	13	15	1	dihydroorotase_[EC:3.5.2.3]	cdf:CD630_15260,cdf:CD630_36430	Pyrimidine_metabolism,Metabolic_pathways	R01993	C00337<=>C00438
K01480	2	1	1	0	agmatinase_[EC:3.5.3.11]	cdf:CD630_08910	Arginine_and_proline_metabolism,Metabolic_pathways	R01157	C00179=>C00134,C00179<=>C00134
K01487	4	3	2	1	guanine_deaminase_[EC:3.5.4.3]	cdf:CD630_16630	Purine_metabolism,Metabolic_pathways	R01676	C00242=>C00385,C00385<=>C00242
K01488	1	2	1	0	adenosine_deaminase_[EC:3.5.4.4]	cdf:CD630_17470	Purine_metabolism,Metabolic_pathways,Primary_immunodeficiency	R01560,R02556	C00212=>C00294,C00212<=>C00294,C00559<=>C05512
K01489	10	12	9	1	cytidine_deaminase_[EC:3.5.4.5]	cdf:CD630_24380	Pyrimidine_metabolism,Drug_metabolism_-_other_enzymes,Metabolic_pathways	R01878,R02485,R08221	C00475=>C00299,C00475<=>C00299,C00881=>C00526,C16635=>C12739
K01493	25	8	8	1	dCMP_deaminase_[EC:3.5.4.12]	cdf:CD630_18990,cdf:CD630_34770	Pyrimidine_metabolism,Metabolic_pathways	R01663	C00239=>C00365,C00365<=>C00239
K01495	14	7	8	1	GTP_cyclohydrolase_I_[EC:3.5.4.16]	cdf:CD630_14490	Folate_biosynthesis,Metabolic_pathways	R00428,R04639,R05046,R05048	C00044=>C05922,C00044<=>C05922,C06148=>C04895,C06148<=>C04895,C05922=>C05923,C05922<=>C05923,C05923=>C06148,C05923<=>C06148
K01515	14	11	15	0	ADP-ribose_pyrophosphatase_[EC:3.6.1.13]	cdf:CD630_12200	Purine_metabolism	R01054	C00301=>C00117
K01520	6	4	3	1	dUTP_pyrophosphatase_[EC:3.6.1.23]	cdf:CD630_24030	Pyrimidine_metabolism,Metabolic_pathways	R02100	C00460=>C00365,C00460<=>C00365
K01524	2	1	1	0	exopolyphosphatase_/_guanosine-5'-triphosphate,3'-diphosphate_pyrophosphatase_[EC:3.6.1.11_3.6.1.40]	cdf:CD630_34910	Purine_metabolism	R03409	C04494<=>C01228
K01531	3	3	6	0	Mg2+-importing_ATPase_[EC:3.6.3.2]	cdf:CD630_33730,cdf:CD630_33770	NA	NA	NA
K01534	3	3	2	1	Cd2+/Zn2+-exporting_ATPase_[EC:3.6.3.3_3.6.3.5]	cdf:CD630_03130	NA	NA	NA
K01537	10	31	16	1	Ca2+-transporting_ATPase_[EC:3.6.3.8]	cdf:CD630_18240	NA	NA	NA
K01546	0	0	0	0	K+-transporting_ATPase_ATPase_A_chain_[EC:3.6.3.12]	cdf:CD630_15910	Two-component_system	NA	NA
K01547	0	0	0	0	K+-transporting_ATPase_ATPase_B_chain_[EC:3.6.3.12]	cdf:CD630_15920	Two-component_system	NA	NA
K01548	0	0	0	0	K+-transporting_ATPase_ATPase_C_chain_[EC:3.6.3.12]	cdf:CD630_15930	Two-component_system	NA	NA
K01552	0	0	1	0	myosin_ATPase_[EC:3.6.4.1]	cdf:CD630_16590	NA	NA	NA
K01585	1	1	1	0	arginine_decarboxylase_[EC:4.1.1.19]	cdf:CD630_08880,cdf:CD630_35510	Arginine_and_proline_metabolism,Metabolic_pathways	R00566	C00062=>C00179,C00062<=>C00179
K01586	7	4	6	0	diaminopimelate_decarboxylase_[EC:4.1.1.20]	cdf:CD630_18080,cdf:CD630_20530	Lysine_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Biosynthesis_of_amino_acids	R00451	C00680=>C00047,C00047<=>C00680,C00680<=>C00047
K01588	6	4	3	4	5-(carboxyamino)imidazole_ribonucleotide_mutase_[EC:5.4.99.18]	cdf:CD630_02180	Purine_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R07405	C15667<=>C04751
K01591	2	1	2	1	orotidine-5'-phosphate_decarboxylase_[EC:4.1.1.23]	cdf:CD630_35920	Pyrimidine_metabolism,Metabolic_pathways	R00965	C01103=>C00105,C01103<=>C00105
K01611	0	0	0	1	S-adenosylmethionine_decarboxylase_[EC:4.1.1.50]	cdf:CD630_08890	Cysteine_and_methionine_metabolism,Arginine_and_proline_metabolism,Metabolic_pathways	R00178	C00019=>C01137,C00019<=>C01137
K01620	8	13	20	0	threonine_aldolase_[EC:4.1.2.5]	cdf:CD630_25910	Glycine,_serine_and_threonine_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Biosynthesis_of_amino_acids	R00751,R06171	C00188<=>C00037,C00037<=>C00188,C00037<=>C05519,C05519<=>C00037
K01624	133	141	141	12	fructose-bisphosphate_aldolase,_class_II_[EC:4.1.2.13]	cdf:CD630_04030,cdf:CD630_31350	Glycolysis_/_Gluconeogenesis,Pentose_phosphate_pathway,Fructose_and_mannose_metabolism,Methane_metabolism,Carbon_fixation_in_photosynthetic_organisms,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Carbon_metabolism,Biosynthesis_of_amino_acids	R01068,R01070,R01829,R02568	C00354<=>C00118+C00111,C00118=>C00354,C00354<=>C00118,C00354<=>C00111,C05378<=>C00111+C00118,C05378<=>C00118,C05378<=>C00118+C00111,C00111+C00279=>C00447,C00279<=>C00447,C00447<=>C00111+C00279,C00279+C00111=>C00447,C01094<=>C00577+C00111,C01094<=>C00111
K01625	2	22	16	0	2-dehydro-3-deoxyphosphogluconate_aldolase_/_4-hydroxy-2-oxoglutarate_aldolase_[EC:4.1.2.14_4.1.3.16]	cdf:CD630_36260	Pentose_phosphate_pathway,Arginine_and_proline_metabolism,Glyoxylate_and_dicarboxylate_metabolism,Metabolic_pathways,Microbial_metabolism_in_diverse_environments,Carbon_metabolism	R00470,R00471,R05605	C01127<=>C00048+C00022,C05946=>C00048+C00022,C00048<=>C05946,C04442<=>C00022+C00118,C00118<=>C04442,C04442<=>C00118+C00022
K01628	0	0	0	0	L-fuculose-phosphate_aldolase_[EC:4.1.2.17]	cdf:CD630_00450	Fructose_and_mannose_metabolism	R02262	C01099=>C00424
K01633	12	6	7	1	dihydroneopterin_aldolase_[EC:4.1.2.25]	cdf:CD630_14510	Folate_biosynthesis,Metabolic_pathways	R03504	C04874=>C00266+C01300,C04874<=>C01300
K01639	25	1	29	73	N-acetylneuraminate_lyase_[EC:4.1.3.3]	cdf:CD630_22400	Amino_sugar_and_nucleotide_sugar_metabolism	R01811	C00270=>C00645
K01640	0	0	0	0	hydroxymethylglutaryl-CoA_lyase_[EC:4.1.3.4]	cdf:CD630_07970	Synthesis_and_degradation_of_ketone_bodies,Valine,_leucine_and_isoleucine_degradation,Geraniol_degradation,Butanoate_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Peroxisome	R01360,R08090	C00356=>C00024+C00164,C00356=>C00164+C00024,C00164<=>C00356,C04675=>C16466,C04675<=>C16466
K01649	0	0	0	0	2-isopropylmalate_synthase_[EC:2.3.3.13]	cdf:CD630_09890	Valine,_leucine_and_isoleucine_biosynthesis,Pyruvate_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,2-Oxocarboxylic_acid_metabolism,Biosynthesis_of_amino_acids	R01213	C00141=>C02504,C00024=>C02504,C02504<=>C00141,C02504<=>C00024+C00141
K01652	0	2	3	0	acetolactate_synthase_I/II/III_large_subunit_[EC:2.2.1.6]	cdf:CD630_15660	Valine,_leucine_and_isoleucine_biosynthesis,Butanoate_metabolism,C5-Branched_dibasic_acid_metabolism,Pantothenate_and_CoA_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,2-Oxocarboxylic_acid_metabolism,Biosynthesis_of_amino_acids	R00006,R00014,R00226,R03050,R08648	C00022=>C00900,C00022+C00068=>C05125,C00068+C00022=>C05125,C00022<=>C05125,C00022=>C06010,C06010<=>C00022,C05125=>C00900+C00068,C00109+C00022=>C06006,C00022+C00109<=>C06006,C00109<=>C06006,C00109=>C06006
K01662	8	5	4	1	1-deoxy-D-xylulose-5-phosphate_synthase_[EC:2.2.1.7]	cdf:CD630_12070	Thiamine_metabolism,Terpenoid_backbone_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R05636	C00118+C00022=>C11437,C00118+C00022<=>C11437,C11437<=>C00118+C00022,C00022+C00118<=>C11437
K01664	3	3	3	0	para-aminobenzoate_synthetase_component_II_[EC:2.6.1.85]	cdf:CD630_14450	Folate_biosynthesis	R01716	C00251=>C11355
K01665	6	5	5	1	para-aminobenzoate_synthetase_component_I_[EC:2.6.1.85]	cdf:CD630_14460	Folate_biosynthesis	R01716	C00251=>C11355
K01677	4	2	1	1	fumarate_hydratase_subunit_alpha_[EC:4.2.1.2]	cdf:CD630_10030	Citrate_cycle_(TCA_cycle),Carbon_fixation_pathways_in_prokaryotes,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Carbon_metabolism	R01082	C00149<=>C00122,C00122<=>C00149
K01678	3	1	1	0	fumarate_hydratase_subunit_beta_[EC:4.2.1.2]	cdf:CD630_10040	Citrate_cycle_(TCA_cycle),Carbon_fixation_pathways_in_prokaryotes,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Carbon_metabolism	R01082	C00149<=>C00122,C00122<=>C00149
K01681	3	0	2	0	aconitate_hydratase_[EC:4.2.1.3]	cdf:CD630_08330	Citrate_cycle_(TCA_cycle),Glyoxylate_and_dicarboxylate_metabolism,Carbon_fixation_pathways_in_prokaryotes,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Carbon_metabolism,2-Oxocarboxylic_acid_metabolism,Biosynthesis_of_amino_acids	R01324,R01325,R01900	C00311<=>C00158,C00158<=>C00311,C00158=>C00311,C00158<=>C00417,C00417<=>C00158,C00417=>C00158,C00158=>C00417,C00417<=>C00311,C00311=>C00417,C00311<=>C00417,C00417=>C00311
K01687	0	4	3	0	dihydroxy-acid_dehydratase_[EC:4.2.1.9]	cdf:CD630_20140	Valine,_leucine_and_isoleucine_biosynthesis,Pantothenate_and_CoA_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,2-Oxocarboxylic_acid_metabolism,Biosynthesis_of_amino_acids	R01209,R04441,R05070	C04039=>C00141,C04272=>C00141,C04272<=>C00141,C06007=>C00671,C06007<=>C00671
K01689	176	53	62	444	enolase_[EC:4.2.1.11]	cdf:CD630_31700	Glycolysis_/_Gluconeogenesis,Methane_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Carbon_metabolism,Biosynthesis_of_amino_acids,RNA_degradation,HIF-1_signaling_pathway	R00658	C00631<=>C00074,C00074<=>C00631
K01693	2	1	1	1	imidazoleglycerol-phosphate_dehydratase_[EC:4.2.1.19]	cdf:CD630_15500	Histidine_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Biosynthesis_of_amino_acids	R03457	C04666=>C01267,C01267<=>C04666,C04666<=>C01267
K01703	0	0	0	0	3-isopropylmalate/(R)-2-methylmalate_dehydratase_large_subunit_[EC:4.2.1.33_4.2.1.35]	cdf:CD630_09900	Valine,_leucine_and_isoleucine_biosynthesis,C5-Branched_dibasic_acid_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,2-Oxocarboxylic_acid_metabolism,Biosynthesis_of_amino_acids	R03896,R03898,R03968,R04001,R10170	C02612=>C02226,C02612<=>C02226,C02226=>C06032,C06032<=>C02226,C02226<=>C06032,C02504<=>C02631,C02504=>C02631,C04411<=>C02631,C02631=>C04411,C02504=>C04411
K01704	0	0	0	0	3-isopropylmalate/(R)-2-methylmalate_dehydratase_small_subunit_[EC:4.2.1.33_4.2.1.35]	cdf:CD630_09910	Valine,_leucine_and_isoleucine_biosynthesis,C5-Branched_dibasic_acid_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,2-Oxocarboxylic_acid_metabolism,Biosynthesis_of_amino_acids	R03896,R03898,R03968,R04001,R10170	C02612=>C02226,C02612<=>C02226,C02226=>C06032,C06032<=>C02226,C02226<=>C06032,C02504<=>C02631,C02504=>C02631,C04411<=>C02631,C02631=>C04411,C02504=>C04411
K01714	67	100	54	30	4-hydroxy-tetrahydrodipicolinate_synthase_[EC:4.3.3.7]	cdf:CD630_30000,cdf:CD630_32230,cdf:CD630_32250,cdf:CD630_36270	Lysine_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Biosynthesis_of_amino_acids	R10147	C00441=>C20258,C00441<=>C20258
K01715	120	117	227	6	3-hydroxybutyryl-CoA_dehydratase_[EC:4.2.1.55]	cdf:CD630_08000,cdf:CD630_10570	Glyoxylate_and_dicarboxylate_metabolism,Butanoate_metabolism,Carbon_fixation_pathways_in_prokaryotes,Microbial_metabolism_in_diverse_environments,Carbon_metabolism	R03026,R03027	C01144<=>C00877,C00877=>C01144,C00877<=>C01144,C03561=>C00877,C03561<=>C00877
K01726	19	33	12	9	hyaluronate_lyase_[EC:4.2.2.1]	cdf:CD630_17490	Benzoate_degradation,Bisphenol_degradation,Naphthalene_degradation,Butanoate_metabolism,Limonene_and_pinene_degradation,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments	R03937,R05078,R05601,R06369,R06885,R06913,R06923,R06934	C03058<=>C02411,C06035=>C06033,C06033<=>C06035,C06723=>C06714,C06723<=>C06714,C11929=>C11934,C11929<=>C11934,C13629=>C13632,C13632<=>C13629,C13629<=>C13632,C14086=>C14087,C14086<=>C14087,C14095=>C14096,C14095<=>C14096,C14107=>C14108,C14107<=>C14108
K01734	18	22	25	4	methylglyoxal_synthase_[EC:4.2.3.3]	cdf:CD630_11530	Pyruvate_metabolism	R01016	C00111=>C00546
K01735	2	1	1	1	3-dehydroquinate_synthase_[EC:4.2.3.4]	cdf:CD630_18330	Phenylalanine,_tyrosine_and_tryptophan_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Biosynthesis_of_amino_acids	R03083	C04691=>C00944,C04691<=>C00944
K01736	2	1	1	1	chorismate_synthase_[EC:4.2.3.5]	cdf:CD630_18350	Phenylalanine,_tyrosine_and_tryptophan_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Biosynthesis_of_amino_acids	R01714	C01269=>C00251,C00251<=>C01269,C01269<=>C00251
K01738	1	4	2	0	cysteine_synthase_A_[EC:2.5.1.47]	cdf:CD630_15940,cdf:CD630_16650	Cysteine_and_methionine_metabolism,Sulfur_metabolism,Metabolic_pathways,Microbial_metabolism_in_diverse_environments,Carbon_metabolism,Biosynthesis_of_amino_acids	R00897,R04859	C00979+C00283=>C00097,C00979+C00283=>C00097+C00033,C00979+C00283<=>C00097,C00283+C00979<=>C00097+C00033,C00283+C00979=>C00033+C00097,C00979=>C00097,C00979<=>C00097
K01740	2	1	1	0	O-acetylhomoserine_(thiol)-lyase_[EC:2.5.1.49]	cdf:CD630_18250	Cysteine_and_methionine_metabolism,Metabolic_pathways	R01287,R04859	C01077=>C00155,C01077<=>C00155,C00979<=>C00097
K01749	7	5	3	1	hydroxymethylbilane_synthase_[EC:2.5.1.61]	cdf:CD630_34210	Porphyrin_and_chlorophyll_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R00084	C00931=>C01024,C00931<=>C01024
K01750	8	9	11	0	ornithine_cyclodeaminase_[EC:4.3.1.12]	cdf:CD630_05440	Arginine_and_proline_metabolism,Biosynthesis_of_secondary_metabolites,Biosynthesis_of_amino_acids	R00671	C00077<=>C00148,C00077=>C00148
K01751	2	5	4	0	diaminopropionate_ammonia-lyase_[EC:4.3.1.15]	cdf:CD630_20850,cdf:CD630_31840	NA	NA	NA
K01752	8	9	5	0	L-serine_dehydratase_[EC:4.3.1.17]	cdf:CD630_32220	Glycine,_serine_and_threonine_metabolism,Cysteine_and_methionine_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Carbon_metabolism,Biosynthesis_of_amino_acids	R00220,R00590	C00065<=>C00022,C00022<=>C00065,C00065=>C00022+C00014,C00065=>C00022,C00065=>C02218
K01754	37	44	63	19	threonine_dehydratase_[EC:4.3.1.19]	cdf:CD630_25140	Glycine,_serine_and_threonine_metabolism,Valine,_leucine_and_isoleucine_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Carbon_metabolism,Biosynthesis_of_amino_acids	R00220,R00996	C00065<=>C00022,C00022<=>C00065,C00065=>C00022+C00014,C00065=>C00022,C00188=>C00109,C00188<=>C00109
K01756	11	10	14	22	adenylosuccinate_lyase_[EC:4.3.2.2]	cdf:CD630_13340	Purine_metabolism,Alanine,_aspartate_and_glutamate_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R01083,R04559	C03794=>C00020,C03794=>C00122,C00020<=>C03794,C04823<=>C04677
K01759	8	6	16	0	lactoylglutathione_lyase_[EC:4.4.1.5]	cdf:CD630_11340	Pyruvate_metabolism,MAPK_signaling_pathway_-_yeast	R02530	C03451<=>C00546
K01761	0	0	0	0	methionine-gamma-lyase_[EC:4.4.1.11]	cdf:CD630_35770	Cysteine_and_methionine_metabolism,Selenocompound_metabolism	R00654,R04770	C00073=>C00409,C05335=>C05703
K01770	3	3	2	1	2-C-methyl-D-erythritol_2,4-cyclodiphosphate_synthase_[EC:4.6.1.12]	cdf:CD630_00480	Terpenoid_backbone_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R05637	C11436=>C11453,C11453<=>C11436,C11436<=>C11453
K01776	4	3	2	6	glutamate_racemase_[EC:5.1.1.3]	cdf:CD630_35620	D-Glutamine_and_D-glutamate_metabolism,Metabolic_pathways	R00260	C00025<=>C00217
K01777	331	422	269	60	proline_racemase_[EC:5.1.1.4]	cdf:CD630_32370	Arginine_and_proline_metabolism,Metabolic_pathways	R01255	C00148=>C00763,C00148<=>C00763
K01778	5	3	5	1	diaminopimelate_epimerase_[EC:5.1.1.7]	cdf:CD630_25900	Lysine_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Biosynthesis_of_amino_acids	R02735	C00666<=>C00680,C00680<=>C00666,C00666=>C00680
K01779	9	8	12	0	aspartate_racemase_[EC:5.1.1.13]	cdf:CD630_20280,cdf:CD630_22540	Alanine,_aspartate_and_glutamate_metabolism,Nonribosomal_peptide_structures	R00491	C00049=>C00402
